unit,category,use,translation,item,subcategory,value,year,source,jason_notes
Stück (Piece),Meat,preserved (cured),dried sheep,Treüge Schöpsen und Schaaf (1659),other,null,1677.0,,
Stück (Piece),Meat,preserved (cured),dried sheep,Treüge Schöpsen und Schaaf (1659),other,null,1678.0,,
Stück (Piece),Meat,preserved (cured),dried sheep,Treüge Schöpsen und Schaaf (1659),other,null,1679.0,,
Stück (Piece),Meat,preserved (cured),dried sheep,Treüge Schöpsen und Schaaf (1659),other,null,1680.0,,
Stück (Piece),Meat,preserved (cured),dried sheep,Treüge Schöpsen und Schaaf (1659),other,null,1681.0,,
Stück (Piece),Meat,preserved (cured),dried sheep,Treüge Schöpsen und Schaaf (1659),other,null,1682.0,,
Stück (Piece),Meat,preserved (cured),dried sheep,Treüge Schöpsen und Schaaf (1659),other,null,1683.0,,
Stück (Piece),Meat,preserved (cured),dried sheep,Treüge Schöpsen und Schaaf (1659),other,null,1684.0,,
Stück (Piece),Meat,preserved (cured),dried sheep,Treüge Schöpsen und Schaaf (1659),other,null,1685.0,,
Stück (Piece),Meat,preserved (cured),dried sheep,Treüge Schöpsen und Schaaf (1659),other,null,1686.0,,
Stück (Piece),Meat,preserved (cured),dried sheep,Treüge Schöpsen und Schaaf (1659),other,null,1687.0,,
Stück (Piece),Meat,preserved (cured),dried sheep,Treüge Schöpsen und Schaaf (1659),other,null,1688.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1640.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1641.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1642.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1643.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1644.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1645.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1646.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1647.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1648.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1649.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1650.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1651.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1652.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1653.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1654.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1655.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1656.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1657.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1658.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1659.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1660.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1661.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1662.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1663.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1664.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1665.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1666.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1667.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1669.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1670.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1671.0,,
